eic_p,eic_g,eprtr_facilityID,WRI_id,GEO_id,fresna_id
54W-KOMAN0000066,54W-KOMAN-G2008E,,WRI1002171,,
54W-KOMAN0000066,54W-KOMAN-G1007L,,WRI1002171,,
54W-KOMAN0000066,54W-KOMAN-G30097,,WRI1002171,,
54W-KOMAN0000066,54W-KOMAN-G4010H,,WRI1002171,,
54W-FIERZ000001A,54W-FIERZ-G1002P,,WRI1002170,,
54W-FIERZ000001A,54W-FIERZ-G2003I,,WRI1002170,,
54W-FIERZ000001A,54W-FIERZ-G3004B,,WRI1002170,,
54W-FIERZ000001A,54W-FIERZ-G40054,,WRI1002170,,
54W-VAUDEJES011D,54W-VADEJ-G5016Y,,WRI1002175,,
54W-VAUDEJES011D,54W-VADEJ-G1012P,,WRI1002175,,
54W-VAUDEJES011D,54W-VADEJ-G2013I,,WRI1002175,,
54W-VAUDEJES011D,54W-VADEJ-G3014B,,WRI1002175,,
54W-VAUDEJES011D,54W-VADEJ-G40154,,WRI1002175,,
14W-WGM-KW-----J,14W-WGM1-M1----5,5943,,45146,1889
14W-WGM-KW-----J,14W-WGM2-M1----X,5943,,45146,1889
14W-BOW-KW-----9,14W-BOW-TU-----P,,WRI1005219,45164,19
14WLSG-MITTE---U,,5806,,,917
14W-KW-THE-EVN-7,14W-KW-THE-KO--3,5749,,,1050
14W-KW-THE-EVN-7,14W-KW-THE-M2--7,5749,,45718,1050
14W-KW-THE-EVN-7,14W-KW-THE--M5-O,5749,,45718,1050
14W-KW-THE-EVN-7,14W-KW-THE--M3-U,5749,,45718,1050
14W-KW-DU2-EVN-K,14W-KW-DUE-EVN-A,5750,,45151,338
14WLSG-1SUED---5,,5806,,,4146
14W-E110349----M,,,,,4252
14W-KW-KO2-EVN-5,14W-KW-KOR-EVN-F,5748,,,296
14W-KW-KO2-EVN-5,14W-KW-KOR--M2-4,5748,,,296
14W-BAW-KW-----F,14W-BAW-TU-----V,,,45055,190
14W-BYP-KW-----6,14W-BYP-TU-----M,,WRI1018682,45167,119
14W-TKO-KW-----S,14W-TKO-TU-----7,,WRI1005192,45533,605
14W-DMO-KW-----D,14W-DMO-TU-----T,,WRI1005207,44814,45
14W-WDR-KW-----2,14W-WDR-M1-----I,5938,,45151,
14W-BAA-KW-----D,14W-BAA-TU-----T,,WRI1005149,45165,189
14W-BFR-KW-----A,14W-BFR-TU-----Q,,WRI1005267,44777,10
14W-E110354----8,,,,,1166
14W-BAS-KW-----I,14W-BAS-TU-----Y,,WRI1005154,45057,192
14W-TZG-KW-----H,14W-TZG-TU-----X,,WRI1005174,45035,63
14W-TZR-KW-----I,14W-TZR-TU-----Y,,,45043,36
14WENERGIE--WT02,14WENERGIEAGWT4S,5779,,45177,512
14W-TKH-KW-----O,14W-TKH-TU-----3,,WRI1005191,45542,72
14W-DMH-KW-----9,14W-DMH-TU-----P,,WRI1005206,44815,37
14W-WNW-KW-----R,14W-WNW-M1-----6,5880,,,
14W-PROD-LAU---8,14W-GEN-LAU----Z,5904,,45181,1312
14W-VOEST-KW---0,14W-BLOCK07-L--J,5806,,,6496
14W-BWM-KW-----L,14W-BWM-TU-----0,,WRI1005262,45166,118
14W-WML-KW-----0,14W-WML-M1-----G,5943,,45150,276
14W-TKP-KW-----I,14W-TKP-TU-----Y,,,,1885
14W-TKS-KW-----P,14W-TKS-TU-----4,,WRI1005240,45559,39
14W-PROD-DO----O,14W-GEN-DO3----F,5906,WRI1019146,45178,107
14W-PROD-SIM---P,14W-GEN-SIM3---P,5905,WRI1019147,45176,85
14W-PROD-SIM---P,14W-GEN-SIM1---Z,5905,WRI1019147,45176,85
14W-PROD-SIM---P,14W-GEN-SIMBIO-J,5905,WRI1019147,,85
14W-DRP-KW-----M,14W-DRP-TU-----1,,,,1197
14W-E110352----K,,,,,1193
14WENERGIEAGWR05,14WENERGIEAGWR21,5777,,,1055
14W-TZMA-KW----N,14W-TZM-TU-----A,,WRI1005210,45044,25
14W-TZH-KW-----7,14W-TZH-TU-----N,,,45046,70
14W-BME-KW-----Q,14W-BME-TU-----5,,WRI1005211,45168,24
14W-BGS-KW-----Q,14W-BGS-TU-----5,,WRI1005179,45056,67
22WSAINT-000221B,22WSAINT-150221B,15094,WRI1002267,41948,1317
22WDOELX40000793,22WDOELX41500793,14837,WRI1002223,2948,1259
22WCOOXII000070C,22WCOOX4X0000588,,WRI1002221,41951,382
22WCOOXII000070C,22WCOOX5X000061A,,WRI1002221,41951,382
22WCOOXII000070C,22WCOOX6X000064W,,WRI1002221,41951,382
22WDROGEN0000863,22WDROGEN0000847,14829,WRI1002225,41953,1260
22WDROGEN0000863,22WDROGEN0000855,14829,WRI1002225,41953,1260
22WDROGEN0000863,22WDROGEN0000839,14829,WRI1002225,41953,1260
22WINESCO000149P,22WINESCO150149P,229664,WRI1002244,,2822
22WMARCIN000179H,22WMARCIN150179H,182341,WRI1002258,41970,2462
22WSCHELD0002261,22WSCHELD1502261,14731,,41968,2465
22WTHORNT000237E,22WTHORNT150237E,,WRI1002273,,
22WDOELX3000078D,22WDOELX3150078D,14837,WRI1002223,2948,1259
22WTHORNT000238C,22WTHORNT150238C,,WRI1002274,,
22WT-POWE000244W,22WT-POWE150244W,182171,WRI1002271,,2157
22WCOOXIX000067T,22WCOOX1X000050E,,,,382
22WCOOXIX000067T,22WCOOX2X0000521,,WRI1002221,41951,382
22WCOOXIX000067T,22WCOOX3X000055N,,WRI1002221,41951,382
22WDOELX1000076X,22WDOELX1150076X,14837,WRI1002223,2948,1259
22WRODENH000213L,22WRODENH150213L,14833,WRI1002265,,396
22WBELWIN0000271,22WBELWIN1500271,,WRI1002212,,
22WHERDER0001288,22WHERDER000127A,14834,WRI1002234,41950,1288
22WHERDER0001288,22WHERDER000126C,14834,WRI1002234,41950,1288
22WHERDER0001288,22WHERDER000125E,14834,WRI1002234,41950,1288
22WRINGVA000209C,22WRINGVA150209C,14750,WRI1002264,41949,848
22WDOELX2000077N,22WDOELX2150077N,14837,WRI1002223,2948,1259
22WZELZAT0002618,22WZELZAT1502618,202142,WRI1002288,41973,2468
22WZANDVL000255D,22WZANDVL150255D,15502,,,6499
22WTIHANG000239G,22WTIHANG150239G,15650,WRI1002275,5724,825
22WTIHANG000242R,22WTIHANG150242R,15650,WRI1002277,5724,825
22WTIHANG000241T,22WTIHANG150241T,15650,WRI1002277,5724,825
22WTIHANG000240V,22WTIHANG150240V,15650,WRI1002277,,825
22WLANGER0001694,22WLANGER1501694,14830,WRI1002253,41965,1315
22WNORTHW000187B,22WNORTHW150187B,,WRI1002260,,
22WAMERCO000010Y,22WAMERCO000009J,15092,WRI1002207,41947,1283
22WAMERCO000010Y,22WAMERCO000008L,15092,WRI1002207,41947,1283
22WESCH-S0000967,22WESCH-S1500967,14381,GEODB0045217,45217,
22WPLATEX000208N,22WPLATEX150208N,,WRI1002263,41971,430
22WLANGER000174B,22WLANGER150174B,14830,,,
22WLANGER000173D,22WLANGER150173D,14830,,,
22WLANGER000171H,22WLANGER150171H,14830,WRI1002253,41965,1315
32W001100100050N,,157607,,,2780
32W001100100218B,32W001100100007O,15872,WRI1008057,42180,6482
32W001100100218B,32W001100100009K,15872,WRI1008057,42180,6482
32W001100100218B,32W001100100008M,15872,WRI1008057,42180,6482
32W001100100217D,32W001100100016N,,WRI1008053,3906,454
32W001100100217D,32W001100100017L,,WRI1008053,3906,454
32W001100100070H,,,,,138
32W001100100071F,,,,,127
32W0011001000781,,,,,432
32W0011001000749,,,,,132
32W001100100072D,,,,,133
32W0011001000692,32W0011001000951,,WRI1008055,42172,136
32W0011001000692,32W001100100097Y,,WRI1008055,42172,136
32W0011001000692,32W001100100099U,,WRI1008055,42172,136
32W0011001000692,32W001100100098W,,WRI1008055,42172,136
32W0011001000676,,,,,6356
32W001100100063E,32W001100100040Q,15819,WRI1008061,42179,6433
32W001100100063E,32W001100100038D,15819,WRI1008061,42179,6433
32W001100100063E,32W001100100037F,15819,WRI1008061,42179,6433
32W001100100063E,32W001100100039B,15819,WRI1008061,42179,6433
32W001100100233F,,15875,,,
32W001100100005S,,15884,,,2029
32W0011001000838,,,,,134
32W001100100089X,32W001100100024O,15885,,,2030
32W001100100088Z,32W0011001000498,15874,WRI1008061,42181,450
32W0011001000854,,,,,135
32W001100100294W,32W0011001000943,174614,,,6433
32W001100100294W,32W0011001000935,174614,,,6433
32W001100100026K,,,,,2433
32W001100100022S,,15858,,,2790
32W001100100023Q,,15885,,,6357
32W001100100153D,32W001100100041O,15875,WRI1008060,42178,6433
32W001100100153D,32W001100100046E,15875,WRI1008060,42178,6433
32W001100100153D,32W001100100044I,15875,WRI1008060,42178,6433
32W001100100153D,32W001100100045G,15875,WRI1008060,42178,6433
32W001100100153D,32W001100100043K,15875,WRI1008060,42178,6433
32W001100100153D,32W001100100042M,15875,WRI1008060,42178,6433
32W001100100153D,32W001100100048A,15875,WRI1008060,42178,6433
32W001100100153D,32W001100100047C,15875,WRI1008060,42178,6433
12W-0000000018-B,12W-0000000687-U,,,,73
12W-0000000018-B,12W-0000000444-S,,,,73
12W-0000000018-B,12W-0000000690-A,,,,73
12W-0000000018-B,12W-0000000688-R,,,,73
12W-0000000018-B,12W-0000000689-O,,,,73
12W-0000000052-D,12W-0000000438-K,,,,252
12W-0000000034-F,12W-0000000929-X,,,,1194
12W-0000000017-E,12W-0000000433-Z,,,,306
12W-0000000017-E,12W-0000000431-4,,,,306
12W-0000000116-C,12W-0000000722-R,,,,1899
12W-0000000080-7,12W-0000000164-Z,,WRI1005913,,634
12W-0000000064-3,12W-0000000950-B,,,,4246
12W-0000000056-1,12W-0000000945-0,,,,103
12W-0000000060-F,12W-0000000719-A,,,,1898
12W-0000000060-F,12W-0000000720-X,,,,1898
12W-0000000902-P,12W-0000000723-O,,,,1191
12W-0000000902-P,12W-0000000724-L,,WRI1004385,,1191
12W-0000000902-P,12W-0000000725-I,,,,1191
12W-0000000057-Z,12W-0000000946-Y,,,,95
12W-0000000917-6,12W-0000000458-C,,,,650
12W-0000000917-6,12W-0000000457-F,,,,650
12W-0000000917-6,12W-0000000456-I,,,,650
27W-PU-EPLE----4,,9594,,,
27W-PU-EPC1----Y,27W-GU-EPC1G2--8,13898,WRI1019168,42197,
27W-PU-EPC1----Y,27W-GU-EPC1G5--X,13898,WRI1019168,42197,
27W-PU-EPC1----Y,27W-GU-EPC1G4--0,13898,WRI1019168,42197,
27W-PU-EPC1----Y,27W-GU-EPC1G6--T,13898,WRI1019168,42197,
27W-PU-EPC1----Y,27W-GU-EPC1G3--4,13898,WRI1019168,42197,
27W-PU-EDAL----O,27W-GU-EDALG2--Z,,WRI1019203,42363,6
27W-PU-EDAL----O,27W-GU-EDALG3--V,,WRI1019203,42363,6
27W-PU-EDAL----O,27W-GU-EDALG4--R,,WRI1019203,42363,6
27W-PU-EDAL----O,27W-GU-EDALG1--2,,WRI1019203,42363,6
27W-PU-EME3----W,27W-GU-EME3G11-4,11261,WRI1019167,42200,
27W-PU-EDUK----1,27W-GU-EDUKB2--0,12833,WRI1019175,2983,
27W-PU-EDUK----1,27W-GU-EDUKB4--T,12833,WRI1019175,2983,
27W-PU-EDUK----1,27W-GU-EDUKB1--4,12833,WRI1019175,2983,
27W-PU-EDUK----1,27W-GU-EDUKB3--X,12833,WRI1019175,2983,
27W-PU-ECHV----Y,27W-GU-ECHVG3--4,10300,WRI1019222,42196,
27W-PU-ECHV----Y,27W-GU-ECHVG2--8,10300,WRI1019222,42196,
27W-PU-ECHV----Y,27W-GU-ECHVG4--0,10300,WRI1019222,42196,
27W-PU-ECHV----Y,27W-GU-ECHVG1--C,10300,WRI1019222,42196,
27W-PU-ETU2----I,27W-GU-ETU2G23-H,8582,WRI1019173,42199,
27W-PU-ETU2----I,27W-GU-ETU2G24-E,8582,WRI1019173,42199,
27W-PU-ETU2----I,27W-GU-ETU2G21-N,8582,WRI1019173,42199,
27W-PU-ETU2----I,27W-GU-ETU2G22-K,8582,WRI1019173,42199,
27W-PU-EPR1----3,,12825,,,
27W-PU-ETI1----Y,,12846,,,
27W-PU-ETEM----A,27W-GU-ETEMG1--P,16070,WRI1019174,5682,
27W-PU-ETEM----A,27W-GU-ETEMG2--L,16070,WRI1019174,5682,
27W-PU-EKOM----C,,11406,,,
27W-PU-EDET----M,27W-GU-EDETG1--0,10343,WRI1019164,42198,
27W-PU-EDET----M,27W-GU-EDETG4--P,10343,WRI1019164,42198,
27W-PU-EDET----M,27W-GU-EDETG3--T,10343,WRI1019164,42198,
27W-PU-EDET----M,27W-GU-EDETG2--X,10343,WRI1019164,42198,
27W-PU-EPC2----S,27W-GU-EPC2B21-L,13898,WRI1019168,,
27W-PU-EPR2----Y,27W-GU-EPR2-G22M,12825,WRI1019170,42195,
27W-PU-EPR2----Y,27W-GU-EPR2G21-2,12825,WRI1019170,42195,
27W-PU-EPR2----Y,27W-GU-EPR2G23-X,12825,,,
27W-PU-EPR2----Y,27W-GU-EPR2G24-U,12825,,,
27W-PU-EPR2----Y,27W-GU-EPR2G25-R,12825,,,
27W-PU-EME2----1,,11261,,,
27W-PU-ELEX2---U,,12869,,,
27W-PU-EDST----Z,27W-GU-EDSTG2--9,,WRI1019204,42364,14
27W-PU-EDST----Z,27W-GU-EDSTG1--D,,WRI1019204,42364,14
27W-PU-ELED----H,27W-GU-ELEDG6--C,12869,WRI1019166,,
27W-PU-EOPA----8,,11043,,,
27W-PU-EME1----7,,11261,,,
27W-PU-EECK----8,27WGU-EECKG7---A,11284,WRI1019206,42323,
27W-PU-EECK----8,27W-GU-EECKG5--7,11284,WRI1019206,42323,
27W-PU-EECK----8,27W-GU-EECKG4--B,11284,WRI1019206,42323,
11WD8DRES5X---PZ,11WD8DRES5X----D,46751,WRI1005780,44315,255
11WD8HAVLXW---PM,11WD8HAVLXW----0,,WRI1025847,,
11WD8MOOR1C----G,11WD8MOOR1C---AV,293020,WRI1005953,44482,1904
11WD8MOOR1C----G,11WD8MOOR1C---BT,293020,WRI1005953,44482,1904
11WD8TIEF5X----V,11WD8TIEF5G-GUDI,237213,,,1049
11WD8TIEF5X----V,11WD8TIEF5C----9,237213,WRI1006069,,1049
11WD8KLIN5X----0,11WD8KLIN5G--13E,46241,WRI1005864,43189,248
11WD8MITT5G----0,11WD8MITT5GGUD-8,46242,WRI1005948,44304,303
11WD8BOXB1L----J,11WD8BOXB1L---P4,74662,WRI1005616,44196,309
11WD8BOXB1L----J,11WD8BOXB1L---Q2,74662,WRI1005616,44196,309
11WD8BOXB1L----J,11WD8BOXB1L---R0,74662,WRI1005616,44196,309
11WD8BOXB1L----J,11WD8BOXB1L---N8,74662,WRI1005616,44196,309
11WD8LICH5G----1,11WD8LICH5G---1Y,3153,WRI1005934,44465,1886
11WD8LICH5G----1,11WD8LICH5G---3U,3153,WRI1005934,44465,1886
11WD8SCHW5X----D,11WD8SCHW5X---27,3203,WRI1005835,,1052
11WD8SCHW5X----D,11WD8SCHW5X---19,3203,WRI1005835,,1052
11WD8SWPU1L----5,11WD8SWPU1L---AK,46366,WRI1006045,44459,504
11WD8SWPU1L----5,11WD8SWPU1L---BI,46366,WRI1006045,44459,504
11WD8GOLD1H----6,11WD8GOLD1H---AL,,WRI1005702,44336,65
11WD8GOLD1H----6,11WD8GOLD1H---BJ,,WRI1005702,44336,65
11WD8GOLD1H----6,11WD8GOLD1H---CH,,WRI1005702,44336,65
11WD8GOLD1H----6,11WD8GOLD1H---DF,,WRI1005702,44336,65
11WD8GEHA5H----R,11WD8GEHA5H---C1,,WRI1005688,,612
11WD8GEHA5H----R,11WD8GEHA5H---B3,,WRI1005688,,612
11WD8GEHA5H----R,11WD8GEHA5H---A5,,WRI1005688,,612
11WD8LIPD1L----P,11WD8LIPD1L---R6,74740,WRI1005935,44197,261
11WD8LIPD1L----P,11WD8LIPD1L---S4,74740,WRI1005935,44197,261
11WD8WED15C----Q,11WD8WED15C---2K,1366,WRI1006131,44460,473
11WD8WED15C----Q,11WD8WED15C---1M,1366,WRI1006131,44460,473
11WD8REUW1C----4,11WD8REUW1C---DD,46251,WRI1006024,44463,266
11WD8REUW1C----4,11WD8REUW1C---EB,46251,WRI1006024,44463,266
11WD8BRUN1O----D,11WD8BRUN1O---BQ,174717,WRI1005622,44334,1289
11WD8BRUN1O----D,11WD8BRUN1O---CO,174717,WRI1005622,44334,1289
11WD8BRUN1O----D,11WD8BRUN1O---AS,174717,WRI1005622,44334,1289
11WD8BRUN1O----D,11WD8BRUN1O---DM,174717,WRI1005622,44334,1289
11WD8ROST1C---P5,11WD8ROST1C----K,46405,WRI1005866,44473,496
11WD8CHAR5X----K,11WD8CHAR5O---6N,3150,WRI1005624,44331,362
11WD8CHAR5X----K,11WD8CHAR5G--5-U,3150,WRI1005624,44331,362
11WD8CHAR5X----K,11WD8CHAR5G---41,3150,WRI1005624,44331,362
11WD8LEIP5X----6,11WD8LEIP5X----6,46662,WRI1005804,,920
11WD8SCHK1L----O,11WD8SCHK1L---B0,46848,WRI1006041,43186,502
11WD8SCHK1L----O,11WD8SCHK1L---A2,46848,WRI1006041,43186,502
11WD8MARK1H----7,11WD8MARK1H---AM,,WRI1005937,44337,26
11WD8MARK1H----7,11WD8MARK1H---FC,,WRI1005937,44337,26
11WD8MARK1H----7,11WD8MARK1H---CI,,WRI1005937,44337,26
11WD8MARK1H----7,11WD8MARK1H---BK,,WRI1005937,44337,26
11WD8MARK1H----7,11WD8MARK1H---EE,,WRI1005937,44337,26
11WD8MARK1H----7,11WD8MARK1H---DG,,WRI1005937,44337,26
11WD8MOAB5X----5,11WD8MOAB5O---5A,46248,WRI1005950,,983
11WD8MOAB5X----5,11WD8MOAB5O---68,46248,WRI1005950,,983
11WD8MOAB5X----5,11WD8MOAB5O---76,46248,WRI1005950,,983
11WD8MOAB5X----5,11WD8MOAB5C---AZ,46248,WRI1005950,,983
11WD8HOH22H----1,11WD8HOH22H---DA,,WRI1005828,,596
11WD8HOH22H----1,11WD8HOH22H---CC,,WRI1005828,,596
11WD8HOH22H----1,11WD8HOH22H---F6,,WRI1005828,,596
11WD8HOH22H----1,11WD8HOH22H---E8,,WRI1005828,,596
11WD8HOH22H----1,11WD8HOH22H---H2,,WRI1005828,,596
11WD8HOH22H----1,11WD8HOH22H---G4,,WRI1005828,,596
11WD8HOH22H----1,11WD8HOH22H---BE,,WRI1005828,,596
11WD8HOH22H----1,11WD8HOH22H---AG,,WRI1005828,,596
11WD8THYR5G----F,11WD8THYR5G---HG,46380,WRI1006068,,
11WD8THYR5G----F,11WD8THYR5G---GI,46380,WRI1006068,,
11WD8THYR5G----F,11WD8THYR5G---FK,46380,WRI1006068,,
11WD8THYR5G----F,11WD8THYR5G---AU,46380,WRI1006068,,
11WD8THYR5G----F,11WD8THYR5G---EM,46380,WRI1006068,,
11WD8THYR5G----F,11WD8THYR5G---DO,46380,WRI1006068,,
11WD8THYR5G----F,11WD8THYR5G---CQ,46380,WRI1006068,,
11WD8THYR5G----F,11WD8THYR5G---BS,46380,WRI1006068,,
11WD8BALT3W---PS,11WD8BALT3W----6,,WRI1025869,,
11WD8REUT5X----M,11WD8REUT5F---MA,46246,WRI1006022,,2784
11WD8REUT5X----M,11WD8REUT5X---CX,46246,WRI1006022,,2784
11WD8AHRF5G----D,11WD8AHRF5G---AS,46304,WRI1005574,,
11WD8AHRF5G----D,11WD8AHRF5G---BQ,46304,WRI1005574,,
11WD8AHRF5G----D,11WD8AHRF5G---CO,46304,WRI1005574,,
11WD8AHRF5G----D,11WD8AHRF5G---DM,46304,WRI1005574,,
11WD8JAEN1L----Z,11WD8JAEN1L---E5,46361,WRI1005906,44195,244
11WD8JAEN1L----Z,11WD8JAEN1L---D7,46361,WRI1005906,44195,244
11WD8JAEN1L----Z,11WD8JAEN1L---C9,46361,WRI1005906,44195,244
11WD8JAEN1L----Z,11WD8JAEN1L---F3,46361,WRI1005906,44195,244
11WD8JAEN1L----Z,11WD8JAEN1L---BB,46361,WRI1005906,44195,244
11WD8JAEN1L----Z,11WD8JAEN1L---AD,46361,WRI1005906,44195,244
11WD8WILM5O----7,11WD8WILM5O--3-W,46250,WRI1006145,44332,478
11WD8WILM5O----7,11WD8WILM5O---21,46250,WRI1006145,44332,478
11WD8WILM5O----7,11WD8WILM5O---13,46250,WRI1006145,44332,478
11WD7GARE5XHEKWQ,11WD7HERD2G-H6-X,2019,,44313,230
11WD7FRIM2B-KW-M,11WD7FRIM2B--Q-D,43783,WRI1005683,44211,350
11WD7FRIM2B-KW-M,11WD7FRIM2B--P-G,43783,WRI1005683,44211,350
11WD7LUDW5GSUEDE,11WD7LUDW5GSDG1Q,201096,WRI1005678,,4159
11WD7LUDW5GSUEDE,11WD7LUDW5GSDG2O,201096,WRI1005678,,4159
11WD7BRAU5G-KW-N,11WD7BRAU5G-GUDH,70917,WRI1005636,44311,337
11WD7NORF5G--KWG,11WD7NORF5GGUDFA,1810,,44480,1331
11WD7NORF5G--KWG,11WD7NORF5GAGUDC,1810,,44480,1331
11WD7NORF5G--KWG,11WD7NORF5G-HTER,1810,,44480,1331
11WD4GKM-2CD7--7,11W0-0000-0006-5,,,,328
11WD7KWKN1GBL203,11WD7KWKN-20-EEW,44193,WRI1005865,44472,249
11WD7WEIS-B-KW-C,11WD7WEIS5B--E-Y,44118,WRI1006134,44318,475
11WD7WEIS-B-KW-C,11WD7WEIS5GVGTHS,44118,WRI1006134,44318,475
11WD7WEIS-B-KW-C,11WD7WEIS5GVGTGU,44118,WRI1006134,44318,475
11WD7WEIS-B-KW-C,11WD7WEIS1B--F-M,44118,WRI1006134,44318,475
11WD7WEIS-B-KW-C,11WD7ZUKU5X-MVAS,44118,WRI1005965,,475
11WD7WEIS-B-KW-C,11WD7WEIS1B--G-J,44118,WRI1006134,44318,475
11WD7WEIS-B-KW-C,11WD7WEIS1B--H-G,44118,WRI1006134,44318,475
11WD7IBBE2S--KW6,11WD7IBBE2S--B-P,44288,WRI1005832,44468,238
11WD7BEEC5XRUKWN,11WD7BEEC5XRUH2I,,WRI1005642,,4162
11WD7BEEC5XRUKWN,11WD7BEEC5XRUH3G,,WRI1005642,,4162
11WD7BEEC5XRUKWN,11WD7BEEC5XRUH4E,,WRI1005642,,4162
11WD7GARE5XELKWD,11WD7ELVE2S-E4-9,2010,WRI1005898,6033,868
11WD7RHAU5G-3--3,11WD7RHAU5GKW3B5,2459,WRI1005793,44328,
11WD7LUDW2GA800M,11WD7LUDW2GGT12C,201096,WRI1005589,44310,282
11WD7LUDW2GA800M,11WD7LUDW2GGT11E,201096,WRI1005589,44310,282
11WD7KWHU----KW9,11WD7STUM1SBL10G,110239,WRI1006073,,97
11WD7BERG1S--KWB,11WD7BERG1S--A-X,44675,WRI1005584,44212,302
11WD7BEEC5XHAKW5,11WD7BEEC5XHAM3K,43932,,,4155
11WD7BEEC5XHAKW5,11WD7BEEC5XHAM4I,43932,,,4155
11WD7BEEC5XHAKW5,11WD7BEEC5XHAM5G,43932,WRI1005641,,4155
11WATKAUN2HRWEAB,11WD2KAR4000195O,,WRI1005908,,
11WATKAUN2HRWEAB,11WD2KAR5000196E,,WRI1005908,,
11WATKAUN2HRWEAB,11WD2KAR3000194Y,,WRI1005908,,
11WATKAUN2HRWEAB,11WD2KAR1000192H,,WRI1005908,,
11WATKAUN2HRWEAB,11WD2KAR20001937,,WRI1005908,,
11WD4SWSW5HD7--F,11WD4SAEK2HD7--Y,,WRI1006037,,4254
11WD4SWSW5HD7--F,11WD4WALD5H-SD71,,WRI1005896,,4254
11WD4SWSW5HD7--F,11WD4HAEU5H-SD7J,,WRI1005729,44352,4254
11WD4SWSW5HD7--F,11WD4WEHR1HD7--M,,WRI1006132,44456,4254
11WD4SWSW5HD7--F,11WD4WITZ5H-SD76,,WRI1006148,,4254
11WD7EMSL-G-KW-T,11WD7EMSL1G-GUD9,43604,WRI1005658,44323,341
11WD7EMSL-G-KW-T,11WD7EMSL-G-BLCZ,43604,WRI1005658,44324,341
11WD7EMSL-G-KW-T,11WD7EMSL-G-BLB0,43604,WRI1005658,44324,341
11WD7BOLA--KWNIK,11WD7BOLA5GDTN2T,44081,WRI1005803,44317,1905
11WD7BOLA--KWNIK,11WD7OPLA1G--318,44081,WRI1005803,,1905
11WD7BOLA--KWNIK,11WD7BOLA5GGTN2E,44081,WRI1005803,44317,1905
11WD7BOLL5B-FREO,11WD7BOLL5BFRFBC,44486,WRI1005682,,
11WD7FUEH5GMEKW7,11WD7FUEH5GMERKA,44130,WRI1005719,,916
11WD7SCHO-S--KWW,11WD7SCHO2S--C-R,44290,WRI1006042,40883,503
11WD7SCHO-S--KWW,11WD7SCHO1S--B-0,44290,WRI1006042,40883,503
11WD7GARE5XHAKW5,11WD7GARE5G-H45C,2016,WRI1005746,,2818
11WD7LIES5B-KW-D,11WD7LIES5B-WRKC,255737,,,
11WD7LUNE2S--KW8,11WD7LUNE5S--6-L,44735,WRI1005911,44329,97
11WD7LUNE2S--KW8,11WD7LUNE2S--7-2,44735,WRI1005911,44329,97
11WD7WEST1S-KW-K,11WD7WSFN1S--E-Z,44612,WRI1006141,44481,476
11WD7WEST1S-KW-K,11WD7WEST5S--C-P,44612,,,476
11WD7GKWE2S--KW8,11WD7GKWE2S--2-H,43914,WRI1005915,44200,6397
11WD7GKWE2S--KW8,11WD7GKWE2S--1-K,43914,WRI1005915,44200,6397
11WD7HUCK2G--KWR,11WD7HUCK2G--B-9,43825,WRI1005830,44467,236
11WD7HUCK2G--KWR,11WD7HUCK2G--A-C,43825,WRI1005830,44467,236
11WD7BISC5GKW23O,11WD7BISC5GKW3-T,45132,WRI1005886,44316,281
11WD7BISC5GKW23O,11WD7BISC5GKW2-W,45132,WRI1005886,44316,281
11WD7UCHT5XROSOK,11WD7UCHT5XROEMT,3127,,,1054
11WD72VIA2H-KW-0,11WD7VIAN2H-1-1O,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD7VIAN2H-1-2M,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD7VIAN2H-1-3K,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD7VIAN2H-1-4I,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD7VIAN2H-2-6A,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD7VIAN2H-2-78,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD7VIAN2H-2-86,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD7VIAN2H-2-94,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD72VIA2H--11P,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD7VIAN2H-2-5C,,GEODB0045216,45216,
11WD72VIA2H-KW-0,11WD72VIA2H--10R,,GEODB0045216,45216,
11WD7ENSD5SKW3-E,11WD7ENSD5S--3-T,3139,WRI1005879,,2811
11WD7KWKN----KW1,11WD7KWKN-KW-EEN,44193,WRI1005865,44472,249
11WD7NIED-B-KW-5,11WD7NIED1B--K-0,44073,WRI1005979,44319,94
11WD7NIED-B-KW-5,11WD7NIED2B--F-8,44073,WRI1005979,44319,94
11WD7NIED-B-KW-5,11WD7NIED1B--G-C,44073,WRI1005979,44319,94
11WD7NIED-B-KW-5,11WD7NIED2B--E-B,44073,WRI1005979,44319,94
11WD7NIED-B-KW-5,11WD7NIED1B--H-9,44073,WRI1005979,44319,94
11WD7NIED-B-KW-5,11WD7NIED2B--D-E,44073,WRI1005979,44319,94
11WD7NIED-B-KW-5,11WD7NIED2B--C-H,44073,WRI1005979,44319,94
11WD7NEUR-B-KW-B,11WD7NEUR1B--F-L,43843,WRI1005977,44209,269
11WD7NEUR-B-KW-B,11WD7NEUR1B--E-O,43843,WRI1005977,44210,269
